Año,Semana,Día,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS
2021,37,7,30,50,25,42,52,19,1104,97,105,25,367,89,78,238,498,108,113,60,230,198,251,128,67,174,67,114,295,159,59,272,94,25
2021,38,1,19,47,29,32,37,20,534,81,155,25,259,67,85,283,368,100,97,63,183,104,169,99,60,99,36,88,123,139,41,170,92,42
2021,38,2,146,206,83,118,135,137,2088,303,201,145,906,145,258,997,1530,310,296,170,845,336,516,348,173,416,171,315,991,452,136,462,435,96
2021,38,3,115,124,85,69,130,84,1976,222,225,137,839,146,208,779,1325,248,179,121,697,294,453,289,134,350,128,313,787,367,101,371,367,102
2021,38,4,42,74,66,49,70,82,1563,151,137,56,587,105,130,392,745,153,136,75,322,204,279,203,79,226,66,207,709,295,54,295,140,44
2021,38,5,28,45,25,48,32,35,323,91,97,24,283,58,95,285,286,103,65,64,175,191,249,95,56,126,52,82,248,161,39,232,121,25
2021,38,6,122,180,55,98,87,97,2009,233,236,146,695,102,161,849,1516,234,125,115,712,273,421,286,145,318,137,290,741,402,103,407,420,61
2021,38,7,27,62,24,33,30,24,1053,96,78,26,336,50,98,238,494,113,56,52,173,170,212,106,61,125,43,78,270,167,49,224,140,14
2021,39,1,28,59,17,44,24,20,417,54,95,27,252,35,80,198,329,75,78,42,163,121,188,70,49,81,31,59,144,109,34,220,77,22
2021,39,2,130,280,58,126,115,114,2129,263,222,143,844,110,189,948,1566,238,131,141,648,319,458,352,127,314,124,285,963,433,104,420,432,70
2021,39,3,108,203,34,83,107,85,1781,232,177,93,853,45,158,704,1338,176,121,98,554,200,425,287,121,248,128,247,678,314,112,316,359,75
2021,39,4,84,202,48,81,81,105,1815,192,174,90,863,65,160,612,1110,236,98,90,362,211,432,241,111,307,96,272,702,353,90,283,347,41
2021,39,5,100,232,40,72,69,101,1504,161,159,77,820,80,119,474,1124,171,109,81,422,203,378,237,83,233,104,186,551,233,76,312,297,58
2021,39,6,88,217,56,86,75,112,1754,185,145,97,694,67,116,440,1092,147,96,79,410,172,386,192,85,202,91,213,614,260,66,240,294,57
2021,39,7,27,55,23,26,26,19,967,91,83,38,278,24,70,141,338,73,50,31,136,135,185,75,46,108,48,72,238,117,35,142,83,14
2021,40,1,22,47,9,29,22,26,415,94,50,16,318,25,68,152,275,45,55,37,107,66,183,44,30,64,43,71,107,101,31,134,47,11
2021,40,2,139,289,64,76,96,156,1605,235,142,99,1035,79,144,541,1139,198,128,98,566,189,372,250,95,309,120,200,773,331,83,366,324,84
2021,40,3,117,238,43,72,69,98,1187,212,85,82,763,67,130,384,913,152,103,63,461,177,326,207,94,204,98,146,540,209,76,226,281,76
2021,40,4,95,224,56,64,53,115,1096,231,75,62,770,43,104,341,784,134,113,70,383,146,282,216,83,180,71,165,537,237,61,252,256,59
2021,40,5,74,224,38,71,71,97,928,178,79,69,734,43,91,304,653,91,68,66,361,146,255,150,75,157,95,162,480,201,55,227,198,45
2021,40,6,64,195,27,58,40,79,1076,186,91,42,592,39,82,277,679,85,86,63,348,130,224,145,66,178,65,149,427,181,55,208,168,47
2021,40,7,20,66,14,22,17,26,558,82,36,13,312,33,34,123,273,60,37,27,122,82,134,62,32,80,36,59,204,73,18,116,29,19
2021,41,1,32,58,22,24,15,34,291,63,61,10,210,31,40,107,222,54,52,22,102,89,100,43,22,35,22,51,84,59,16,112,43,12
2021,41,2,143,294,33,74,56,168,1134,225,118,93,797,63,102,336,896,103,127,69,424,203,239,232,72,194,93,184,583,215,50,252,214,67
2021,41,3,119,243,34,57,45,153,977,200,86,77,676,44,66,307,731,96,63,56,369,138,283,197,60,177,101,168,418,171,53,155,206,40
2021,41,4,108,287,29,59,39,103,938,181,100,55,669,56,66,227,678,98,95,58,285,114,211,168,63,161,87,172,411,170,44,151,161,59
2021,41,5,103,284,23,51,40,133,834,167,70,58,582,38,66,214,584,74,67,58,322,80,182,152,69,133,65,159,290,147,55,176,158,61
2021,41,6,91,280,27,53,22,103,804,168,65,84,431,36,63,203,621,86,66,43,270,110,163,124,62,168,74,165,319,158,27,138,160,36
2021,41,7,29,94,18,11,14,45,394,116,22,18,220,23,35,99,266,32,32,25,108,75,109,49,37,86,32,55,156,61,21,93,31,12
2021,42,1,43,88,5,15,12,26,262,84,39,15,192,24,39,95,186,42,62,22,83,89,97,45,34,48,30,40,76,80,16,88,39,15
2021,42,2,115,355,35,47,46,134,907,178,70,87,698,43,77,274,900,89,110,54,403,130,164,188,68,210,79,222,453,197,41,165,160,59
2021,42,3,102,301,22,45,37,62,775,180,53,63,705,40,56,205,649,70,62,47,324,91,154,157,45,175,62,141,313,149,32,104,139,66
2021,42,4,104,261,27,41,41,117,676,146,44,52,576,36,49,166,498,56,78,35,308,96,148,146,57,138,38,160,335,140,17,108,138,43
2021,42,5,58,293,24,40,46,140,658,175,42,52,598,24,66,182,546,50,76,47,296,107,131,149,60,140,47,134,258,133,22,125,125,22
2021,42,6,41,289,21,34,22,150,787,141,25,36,523,35,34,153,532,62,60,30,232,94,136,123,35,139,52,124,308,169,23,111,121,43
2021,42,7,14,120,11,12,11,36,307,59,17,11,266,15,23,75,184,27,37,27,72,55,55,25,34,61,26,50,83,65,7,52,23,10
2021,43,1,12,99,11,24,7,32,142,58,20,10,159,25,18,73,116,19,35,17,80,40,64,27,38,36,36,43,51,30,9,51,19,5
2021,43,2,77,455,24,45,45,181,801,213,30,73,525,50,54,201,688,56,91,41,326,123,175,136,70,146,71,161,252,114,27,110,170,46
2021,43,3,69,399,24,27,29,145,680,184,41,52,403,55,55,132,537,44,42,29,279,104,113,96,49,144,51,144,224,92,22,108,131,37
2021,43,4,82,420,34,18,23,144,589,156,26,34,473,22,29,139,491,49,49,30,266,125,113,124,37,106,55,110,191,116,13,85,96,23
2021,43,5,53,429,22,32,18,120,559,151,35,41,429,52,45,174,461,44,44,31,266,82,78,109,33,125,50,142,207,84,17,79,76,32
2021,43,6,53,420,21,25,17,160,639,134,28,36,421,33,43,158,463,34,37,20,209,62,97,120,36,106,46,139,129,91,15,52,105,31
2021,43,7,27,137,11,11,12,40,324,76,28,4,210,12,14,46,150,21,31,12,60,39,66,35,32,55,21,52,45,39,8,50,29,8
2021,44,1,25,109,8,12,3,37,124,47,23,9,151,10,17,55,132,15,17,13,54,51,45,28,22,40,27,44,53,39,13,49,16,8
2021,44,2,92,579,32,32,26,191,651,220,41,72,508,32,55,171,709,31,61,36,283,95,107,143,48,122,60,205,214,136,29,97,124,50
2021,44,3,58,489,20,26,18,147,580,148,26,48,454,52,49,153,530,37,34,31,225,83,78,86,28,112,54,180,135,83,18,85,116,23
2021,44,4,46,457,14,29,10,139,484,180,23,52,407,41,67,118,492,28,24,32,211,62,78,79,49,79,52,125,168,93,14,75,89,30
2021,44,5,65,464,13,19,13,149,487,128,18,36,433,61,47,141,375,31,38,18,206,58,69,105,20,90,52,132,114,90,19,52,96,15
2021,44,6,37,418,16,32,11,114,594,132,25,26,321,44,47,103,429,17,58,17,170,45,62,68,26,80,59,146,140,75,14,46,90,23
2021,44,7,11,145,16,7,4,67,184,54,15,9,135,15,16,34,149,18,24,11,53,28,32,19,7,39,10,42,41,32,6,37,21,5
2021,45,1,6,114,3,7,4,31,91,42,5,13,164,21,19,43,74,13,17,4,48,18,35,20,6,26,17,44,17,17,8,16,20,3
2021,45,2,44,589,18,7,11,90,423,198,10,50,358,24,55,131,347,33,36,32,190,55,36,96,19,107,39,163,57,69,8,53,99,20
2021,45,3,28,516,13,9,5,86,194,168,15,39,270,14,38,89,245,21,19,17,203,30,48,71,10,59,35,99,24,64,3,36,79,15
2021,45,4,53,523,16,9,14,186,595,200,21,62,362,46,35,115,464,30,19,26,159,49,64,95,27,80,30,160,159,87,6,62,99,22
2021,45,5,47,504,10,17,10,185,567,148,15,33,355,36,40,91,397,24,30,8,143,73,55,96,17,98,39,165,89,76,8,43,75,26
2021,45,6,47,497,19,12,6,175,501,159,9,47,250,28,24,91,369,24,26,11,119,54,41,77,18,82,51,169,105,66,16,41,79,18
